ID	pval	log2FC	baseMean
NM_011523	0.918401532196079	-0.155838869150513	6.336693953704
NM_026015	0.944461230541795	0.331712149462122	25.4292282610822
NM_007935	0.534354372847367	0.472220991040588	232.569537806392
NM_001164100	0.0746792158633142	-1.11605344910315	97.0016287562341
NM_001161768	0.104203018881387	0.886979120664281	492.057748875499
NM_028038	0.55853549184605	-0.234652181862321	66.0746223770873
NM_207220	0.22678670703744	1.83384686835776	17.9035659383485
NM_027375	0.73627766777335	0.340300729695201	377.395650336086
NM_001109909	0.673810982713015	0.493891866282224	657.907832315947
NM_001252528	0.651609795190551	0.27551576635069	124.540300515363
NM_001204914	0.313778197788849	-Inf	3.51338406628011
NM_001039084	0.547247105137055	0.699089514466473	56.8958252403406
NM_027249	0.32873716382799	1.01020483137678	32.0309812464889
NM_019786	0.245462138968793	0.630017580949286	265.033314916877
NM_008957	0.345365626573239	1.90301764317773	59.9178328622044
NM_181266	0.270715527808219	-0.675880203786958	125.365244263509
NM_153139	0.877649363219918	0.236902408347677	321.69922018424
NM_001254761	0.471084562898146	0.36029087378716	4998.09365915917
NM_001077508	0.780030204776265	1.6411104541891	10.7733750459317
NM_023197	0.561770529961454	0.281129008428626	1158.31367234118
NM_026112	0.792753305140013	-0.259295465355659	28.7016110215902
NM_001161516	0.335395886178327	-1.75628419499445	5.67613385597878
NM_023737	0.320870798927222	-Inf	1.5904439490078
NM_008540	0.838270616285912	0.161916649467464	729.443856961055
NM_027891	0.303461226351436	-0.919100971673017	27.7517944448701
NM_133945	0.954941741894636	0.0496238551243319	64.2470134123603
NM_001252580	0.418560703907662	0.430714932631587	941.619364578355
NM_019413	0.565524048471024	-Inf	0.216878720319246
NM_011863	0.0214245010705264	-1.48572958689529	103.49233605281
NM_001122780	0.932415896224501	0.713801627141831	10.2560065558002
NM_001164077	0.863076696502787	0.0734372129718978	368.726946618589
NM_178625	0.767636323778652	0.476734823371598	47.7035725553142
NM_010586	0.383943837839203	0.616841503545124	221.921072557173
NM_025785	0.691823767148511	-0.45203864942622	51.6772824621186
NM_145541	0.918221939490342	-0.184197855715571	472.681528475067
NM_001081118	0.442307045440643	0.730993618250676	133.685169673135
NM_026442	0.712978870601488	-0.327087832620027	94.3938361957169
NM_001145876	0.0486448614871902	1.29615544796586	180.435516046072
NM_144526	5.01436059489434e-08	-Inf	17.2609180646775
NM_001163573	0.943376255195149	0.39224044284512	58.7140108683726
NM_001033988	0.213980694937632	-0.830716317310171	142.37224011825
NM_009672	0.337975630466974	1.12120470712387	1237.16077325332
NM_012031	0.754875346268548	-0.00479287127280133	5.23080572513895
NM_172707	0.221092185807692	-0.646837016749296	1124.38803553258
NM_001081633	0.697994529119098	-0.326835453869656	26.680835405282
NM_001127330	5.74656117445222e-10	-4.29101810387204	74.6595435233403
NM_144525	0.699929536266822	0.48292042827349	76.2274705822661
NM_019391	0.121146088808624	-1.50906302092304	33.3659492250653
NM_008204	2.23278954569691e-08	3.89546878140873	635.036813435838
NM_020286	0.322425772199518	4.13492008600674	4.17829471281316
